kuliner-id,kuliner-name,description
,Dali ni Horbo,"Makanan unik ini terdengar asing, namun pasti merasa pernah memakannya. Dali ni horbo merupakan makanan yang berbentuk seperti tahu dan terbuat dari susu kerbau alami."
,Saksang,"saksang adalah masakan khas suku Batak yang terbuat dari daging babi, daging anjing, atau daging kerbau yang dicincang kecil dan dibumbui dengan rempah-rempah, serta dimasak baik dengan menggunakan darah hasil sembelihan hewan tersebut (margota) atau olahan rempah biasa tanpa darah (na so margota)."
,Naniarsik,"Arsik adalah salah satu masakan khas masyarakat Batak atau yang disebut juga dengan dekke na niarsik, yang memiliki arti ikan yang dimasak hingga kering. Kata arsik berasal dari cara memasak hidangan ini, yaitu mangarsik yang berarti hidangan ikan disiram-siram atau diguyur selama proses memasak.
Masakan ini adalah simbol karunia bagi masyarakat Batak dan akan dihidangkan saat acara adat seperti pernikahan dan kelahiran. Hidangan ini disajikan dengan harapan agar orang yang menerima hidangan ini dapat memiliki hati dan perilaku yang bersih."
,Babi Panggang Karo,"Babi panggang karo (atau yang lebih populer dikenal dengan istilah BPK) adalah masakan yang terbuat dari daging babi yang dipanggang atau dibakar. Makanan ini adalah masakan khas Suku Karo, sehingga banyak ditemukan di berbagai kota yang banyak ditinggali oleh orang Karo seperti di Berastagi, Kabanjahe, dan Medan, bahkan di Pekanbaru, Serang, Tangerang, Jakarta, Bekasi, dan Bandung.
Perbedaan antara babi panggang karo dengan babi panggang lainnya adalah cara pemangangannya yang dilakukan lebih unik dengan irisan lebih halus, serta pemilihan bagian daging yang tepat. Saat dihidangkan, babi panggang karo juga akan ditambahkan dengan sajian daun singkong dan kincong yang telah dihaluskan dan dimasak secara khas.
Selain itu, disajikan pula saus yang terbuat dari darah babi. Keberadaan saus darah terlebih dahulu telah dimasak di atas bara api dengan ditambahkan sedikit air dan dibumbui dengan ramuan bumbu, seperti asam. Setelah matang, warna saus darah akan berwarna kecokelatan."
,Manuk Napinadar,"Manuk napinadar atau ayam napinadar adalah masakan khas Batak yang biasanya dihidangkan pada pesta adat tertentu, biasanya disajikan saat seseorang sedang mengalami suka cita seperti kelahiran anak, pernikahan, dan saat seseorang akan berangkat merantau.
Bagi masyarakat Batak, ayam napinadar memiliki filosofi, yaitu sebagai sarana untuk memanjatkan doa dan dapat memberikan semangat dan berkat. Dengan memberikan hidangan ini ke seseorang, harapannya seseorang tersebut dapat mendapatkan kesehatan dan berkat yang melimpah.
Proses memasak ayam napinadar, yaitu dipanggang terlebih dahulu. Setelah itu, disiram dengan manuk (darah ayam) itu sendiri dan dicampur dengan andaliman, bawang putih bubuk (yang sudah digiling sampai halus), lalu dimasak."
,Dengke Mas na Niura,"Dengke mas na niura adalah makanan tradisional khas Batak yang berasal dari tanah Batak, khususnya wilayah Toba, Pulau Samosir, Danau Toba, Tapanuli Utara, dan Humbang Hasundutan. Dahulu, masakan na niura dikhususkan untuk raja saja, tetapi semua orang-orang Batak saat ini dapat membuat dan menyantapnya karena rasanya yang enak. Masakan ini awalnya menggunakan ikan mujair, kemudian digunakan juga untuk ikan emas yang memang banyak ditemukan di Danau Toba.
Ikan mas na niura dikenal juga dengan makanan yang tidak dimasak, direbus, digoreng, atau tanpa menggunakan api. Na niura dalam bahasa Batak artinya ikan yang tidak dimasak melalui api, tetapi enak dimakan. Ikan tersebut dimasak dengan fermentasi bumbu utama, yakni asam batak seperti utte sira atau asam jungga; bisa juga menggunakan kecombrang."
,Na Tinombur,"Na tinombur adalah makanan khas Batak, Sumatra Utara yang berbahan dasar ikan mas atau mujair. Hidangan ini biasanya disajikan dalam acara keluarga. Pengertian tombur sendiri adalah membasahi atau mengairi, sehingga hidangan ikan tersebut dilumuri dengan bumbu. Proses memasaknya diawali dengan membuat tombur atau bumbu dan sambal yang dilumuri ke ikan. Ikan mas atau mujair lantas dibakar atau digoreng terlebih dahulu. Rempah yang digunakan untuk bumbu ikan adalah andaliman, jahe, bawang merah, kemiri, dan jeruk nipis. Andaliman adalah bahan yang dapat menambah cita rasa yang lebih pedas dan gurih."
,Mie Gomak,"Mi gomak adalah makanan yang terkenal sebagai masakan khas suku Batak Toba dari Sumatra Utara. Masakan ini adalah masakan khas daerah sekitar Danau Toba, mulai dari Porsea, Balige, Laguboti, Tarutung, hingga Tapanuli Selatan.  Mi ini juga dapat ditemukan di berbagai daerah di Sumatra Utara, mulai dari Medan, Siantar, Parapat, Labuhan Batu, Sibolga, hingga Deli Serdang. Namun, mi gomak sudah terkenal di berbagai provinsi dan juga beberapa masyarakat Indonesia yang berbeda provinsi.
Mengenai asal-usul sebutan untuk menu ini memiliki beragam versi. Sebagian menyebutkan mungkin karena awalnya mi ini disajikan dengan cara “gomak” yang berarti “ambil” atau “peras” dalam bahasa Batak Toba. Mi akan di-gomak atau dipegang/digenggam dengan tangan kosong sebelum disajikan di piring."
,Tanggo tanggo,"masakan khas dari wilayah Batak Toba yang terbuat dari daging hewan, seperti babi atau anjing, dengan bumbu santan dan rempah-rempah (termasuk jeruk purut dan daun salam, ketumbar, bawang merah, bawang putih, cabai, merica, serai, jahe, lengkuas, kunyit, dan andaliman).[1] Masakan ini tidak jauh berbeda dengan sangsang, perbedaannya adalah daging yang akan dimasak menjadi tanggo tanggo dipotong lebih besar (sebesar kepalan tangan) dan dipadu dengan sayuran yang bukan saja dari daun singkong."
,Mie Sop,"hidangan berkuah yang populer di Indonesia, terutama di Medan, Sumatera Utara. Secara harfiah, ""mie sop"" berarti mie dalam sup. Hidangan ini terdiri dari mie kuning atau bihun yang disajikan dalam kuah kaldu gurih, biasanya dari ayam, dengan berbagai tambahan seperti suwiran ayam, sayuran (seperti kol, daun bawang, seledri), dan terkadang telur rebus atau perkedel."
,Sira Pege,"Hidangan ini terbuat dari bahan sederhana seperti garam, jahe, bawang, cabai dan potongan ayam, yang menghasilkan rasa asin dan hangat dari jahe. Meskipun sederhana, hidangan ini menyimpan rasa khas yang erat dengan budaya Batak.
Walaupun terlihat sederhana, Sira Pege menggambarkan kearifan lokal masyarakat Batak dalam memanfaatkan bahan-bahan yang tersedia menjadi hidangan penuh cita rasa."
,Sambal Tuktuk,"Sambal tuktuk adalah sambal tradisional khas masyarakat Batak yang berasal dari Tapanuli, Sumatera Utara. Bahan-bahan untuk membuat sambal tuktuk tidak berbeda dengan bahan sambal-sambal, pembedanya dengan sambal yang lain adalah adanya andaliman."
